2026-05-04 12:31:50,040 | INFO | Fetching prices...
2026-05-04 12:31:50,299 | INFO | Prices fetched: {'bitcoin': 79701, 'ethereum': 2359.11, 'celestia': 0.353683}
2026-05-04 12:31:50,307 | INFO | Data saved successfully
2026-05-05 10:15:19,725 | ERROR | Error occurred: cannot access local variable 'data' where it is not associated with a value
2026-05-05 10:17:22,518 | INFO | Fetching prices...
2026-05-05 10:17:22,812 | INFO | Prices fetched: {'bitcoin': 80913, 'ethereum': 2376.61, 'celestia': 0.362963, 'litecoin': 55.21}
2026-05-05 10:17:22,822 | INFO | Data saved successfully
2026-05-05 10:44:40,216 | INFO | Fetching prices...
2026-05-05 10:44:40,515 | INFO | Prices fetched: {'bitcoin': 80833, 'ethereum': 2373.65, 'celestia': 0.362792, 'litecoin': 55.07}
2026-05-05 10:44:40,516 | WARNING | ALERT: BTC: price 80833 >= 80816
2026-05-05 10:44:40,847 | INFO | Data saved successfully
2026-05-05 10:45:26,626 | INFO | Fetching prices...
2026-05-05 10:45:26,680 | INFO | Prices fetched: {'bitcoin': 80833, 'ethereum': 2373.65, 'celestia': 0.362792, 'litecoin': 55.07}
2026-05-05 10:45:26,681 | WARNING | ALERT: BTC: price 80833 >= 80816
2026-05-05 10:45:26,968 | INFO | Data saved successfully
2026-05-05 11:11:35,585 | INFO | Fetching prices...
2026-05-05 11:11:35,842 | INFO | Prices fetched: {'bitcoin': 80908, 'ethereum': 2376.82, 'celestia': 0.362984, 'litecoin': 55.15}
2026-05-05 11:11:35,851 | INFO | Data saved successfully
2026-05-05 11:48:19,926 | INFO | Fetching prices...
2026-05-05 11:48:20,245 | INFO | Prices fetched: {'bitcoin': 80927, 'ethereum': 2381.41, 'celestia': 0.368647, 'litecoin': 55.33}
2026-05-05 11:48:20,253 | INFO | Data saved successfully
2026-05-05 11:48:59,663 | INFO | Fetching prices...
2026-05-05 11:48:59,782 | INFO | Prices fetched: {'bitcoin': 80927, 'ethereum': 2381.41, 'celestia': 0.368647, 'litecoin': 55.33}
2026-05-05 11:48:59,782 | WARNING | 🚨 ₿ BTC price ABOVE 80922

Current price BTC: 80927 USD
2026-05-05 11:49:04,213 | INFO | Data saved successfully
2026-05-05 11:54:04,837 | INFO | Fetching prices...
2026-05-05 11:54:05,169 | INFO | Prices fetched: {'bitcoin': 80911, 'ethereum': 2382.59, 'celestia': 0.369188, 'litecoin': 55.29}
2026-05-05 11:54:05,170 | WARNING | 🚨 ₿ BTC price ABOVE 80909

Current price BTC: 80911 USD
2026-05-05 11:54:11,517 | INFO | Data saved successfully
2026-05-06 10:39:22,589 | INFO | Crypto Alert Service started
2026-05-06 10:39:22,589 | INFO | Fetching prices...
2026-05-06 10:39:22,920 | INFO | Prices fetched: {'bitcoin': 81413, 'ethereum': 2367.47, 'celestia': 0.370975, 'litecoin': 56.82}
2026-05-06 10:39:22,924 | INFO | Sleeping for 10 seconds...
2026-05-06 10:39:32,929 | INFO | Fetching prices...
2026-05-06 10:39:32,950 | INFO | Prices fetched: {'bitcoin': 81413, 'ethereum': 2367.47, 'celestia': 0.370975, 'litecoin': 56.82}
2026-05-06 10:39:32,963 | INFO | Sleeping for 10 seconds...
2026-05-06 10:39:42,970 | INFO | Fetching prices...
2026-05-06 10:39:42,988 | INFO | Prices fetched: {'bitcoin': 81413, 'ethereum': 2367.47, 'celestia': 0.370975, 'litecoin': 56.82}
2026-05-06 10:39:42,997 | INFO | Sleeping for 10 seconds...
2026-05-06 10:39:53,000 | INFO | Fetching prices...
2026-05-06 10:39:53,022 | ERROR | Loop error: API error: 429
2026-05-06 10:39:58,023 | INFO | Fetching prices...
2026-05-06 10:39:58,038 | ERROR | Loop error: API error: 429
2026-05-06 10:40:03,041 | INFO | Fetching prices...
2026-05-06 10:40:03,060 | ERROR | Loop error: API error: 429
2026-05-06 10:40:08,075 | INFO | Fetching prices...
2026-05-06 10:40:08,089 | ERROR | Loop error: API error: 429
2026-05-06 10:40:13,097 | INFO | Fetching prices...
2026-05-06 10:40:13,110 | ERROR | Loop error: API error: 429
2026-05-06 10:40:13,307 | INFO | HTTP client closed
